id,popularity,release_date,hitmiss_spotify,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,chart_scraped,peak_position,weeks_on_chart,hitmiss_billboard
0vRzmyE1fPZrXZ3mAM9Gfm,0,23/10/2016,0,233.4,-8.055,98.936,0.07,1.0,0.843,9.0,1.0,1.0,0.7240000000000001,0.931,0.301,0.242,3.12e-06,0.184,0.0354,0.108,NaN,NaN,NaN,0
0xyFcLb9001H4Shk7RiN8B,0,8/7/2016,0,236.38231,-4.212,123.838,0.7440000000000001,4.0,1.0,10.0,0.154,0.0,0.385,0.679,0.64,0.821,0.0,0.161,0.0611,0.55,NaN,NaN,NaN,0
1Buz5qhvfnF1n2DwxsARll,0,23/10/2016,0,257.24971,-5.402,94.991,0.256,4.0,1.0,1.0,0.5720000000000001,1.0,0.58,0.248,0.74,0.887,2.24e-06,0.108,0.0633,0.765,NaN,NaN,NaN,0
1FAcmv7NZtpIRpaEnsPV3a,10,27/10/2016,0,261.66567000000003,-7.286,139.994,0.62,4.0,1.0,2.0,0.503,0.0,0.5660000000000001,0.0346,0.604,0.7390000000000001,1.18e-05,0.0992,0.135,0.307,NaN,NaN,NaN,0
1Jyu1hRAtoSVtGle1RiwTc,16,28/5/2016,0,169.32086,-3.102,167.93900000000005,0.61,4.0,1.0,0.0,0.4370000000000001,1.0,0.532,0.116,0.6990000000000001,0.937,0.0,0.4,0.117,0.861,NaN,NaN,NaN,0
1QOVvqg9rNJLOvXz20rJRe,1,30/9/2016,0,243.27465,-5.934,157.495,0.165,3.0,1.0,11.0,0.508,0.0,0.602,0.318,0.624,0.624,0.000242,0.241,0.0383,0.88,NaN,NaN,NaN,0
1Tt3xEgID8bRBKBQaBWDO9,20,4/3/2016,0,202.90907,-9.206,109.945,0.297,4.0,1.0,5.0,0.8029999999999999,0.0,0.7509999999999999,0.472,0.898,0.35100000000000003,0.0,0.0904,0.232,0.462,NaN,NaN,NaN,0
1Vh2cziUg6o7K5ewPdxqnM,27,3/12/2016,0,267.11633,-5.075,97.063,0.5710000000000001,4.0,1.0,2.0,0.698,1.0,0.675,0.238,0.7070000000000001,0.778,0.0,0.348,0.128,0.611,NaN,NaN,NaN,0
1iCbtbqkDod5wpVYVoBcGP,2,13/9/2016,0,285.2478,-5.442,81.654,0.461,4.0,1.0,4.0,0.599,1.0,0.568,0.487,0.393,0.635,0.0,0.605,0.0314,0.412,NaN,NaN,NaN,0
1kiSovlmWehGG9i08v0wLW,5,10/12/2016,0,213.7629,-7.932,149.914,0.763,4.0,0.908,5.0,0.0,0.0,0.14800000000000002,0.563,0.639,0.618,6.59e-05,0.0854,0.0348,0.403,NaN,NaN,NaN,0
1ktwZZiHKKEYWjk4oO8mrm,0,17/11/2016,0,223.24998,-7.061,78.8,0.08900000000000001,3.0,1.0,11.0,0.394,0.0,0.479,0.27,0.535,0.816,0.0,0.628,0.46,0.916,NaN,NaN,NaN,0
1woMltf1GjhgvrdERChBrk,2,2/9/2016,0,249.0,-5.7189999999999985,109.991,0.833,4.0,1.0,1.0,0.476,1.0,0.472,0.0162,0.78,0.851,0.000495,0.265,0.0365,0.457,NaN,NaN,NaN,0
277LSq1XbYFqYMAubnDn0g,4,5/2/2016,0,265.92889,-5.626,132.023,0.769,4.0,1.0,10.0,0.142,0.0,0.103,0.281,0.893,0.809,4.66e-06,0.0894,0.213,0.847,NaN,NaN,NaN,0
2A07e28kY2oV732Q6R3NdN,0,8/7/2016,0,310.28,-4.614,88.005,0.385,4.0,1.0,7.0,0.8420000000000001,0.0,0.66,0.382,0.602,0.843,0.0,0.292,0.0552,0.759,NaN,NaN,NaN,0
2EGmNyHl6EhsvmN13UVvet,0,20/5/2016,0,186.15383,-1.96,77.998,0.012,4.0,1.0,9.0,0.7390000000000001,1.0,0.5489999999999999,0.4370000000000001,0.7659999999999999,0.6779999999999999,2.35e-05,0.115,0.0413,0.403,NaN,NaN,NaN,0
2HCkI3Juj33ZWl8O0L2V80,0,25/8/2016,0,253.84608,-3.96,156.088,0.193,4.0,0.915,11.0,0.884,0.0,0.821,0.242,0.496,0.77,0.0,0.337,0.0431,0.429,NaN,NaN,NaN,0
2IACKiWuDVLtqZP0RyiHYW,0,23/9/2016,0,242.09374,-8.376,90.036,0.166,4.0,0.974,7.0,0.653,1.0,0.7290000000000001,0.18600000000000005,0.635,0.515,3.44e-06,0.711,0.0296,0.254,NaN,NaN,NaN,0
2LEc7x6nJzpzr07Iogqpf8,0,22/7/2016,0,284.37315,-5.654,120.002,0.6809999999999999,4.0,1.0,10.0,0.314,1.0,0.482,0.527,0.633,0.6709999999999999,0.0,0.079,0.0315,0.544,NaN,NaN,NaN,0
2N4nas6vaw6cuLZeVeD4CB,0,26/12/2016,0,314.85596,-4.115,173.855,0.428,4.0,0.97,8.0,0.552,0.0,0.495,0.442,0.435,0.8440000000000001,5.67e-06,0.124,0.0698,0.536,NaN,NaN,NaN,0
2YMCJSK0SBb3OZqMGQNxnw,2,13/5/2016,0,171.93746000000004,-3.613,120.015,0.626,4.0,1.0,8.0,0.408,1.0,0.485,0.0359,0.7190000000000001,0.652,0.000138,0.132,0.0278,0.395,NaN,NaN,NaN,0
2ZnuVSRTKKUAD1LtFfYVAy,0,17/10/2016,0,193.96186,-3.17,129.996,0.7170000000000001,4.0,1.0,1.0,0.18600000000000005,1.0,0.32299999999999995,0.238,0.73,0.925,0.0,0.127,0.138,0.961,NaN,NaN,NaN,0
2gY6tlVwbBQXnznFY4S7bg,0,10/2/2016,0,176.63955,-4.998,119.955,0.298,4.0,1.0,0.0,0.152,1.0,0.348,0.0826,0.8370000000000001,0.746,0.0,0.102,0.13,0.958,NaN,NaN,NaN,0
2j79TPrZrneViiZkKTrC6L,6,18/4/2016,0,292.21868,-5.457000000000002,74.736,0.192,4.0,0.941,11.0,0.0,0.0,0.268,0.8,0.253,0.568,0.000149,0.127,0.0412,0.226,NaN,NaN,NaN,0
2kbgWl1nr8vmk7rragCj0g,0,13/5/2016,0,174.27243,-6.6560000000000015,107.999,0.546,4.0,1.0,10.0,0.802,1.0,0.6729999999999999,0.0586,0.674,0.499,0.873,0.108,0.0269,0.335,NaN,NaN,NaN,0
2teTEauwADtzupIKtowsHO,3,3/9/2016,0,262.66608,-5.403,75.03399999999998,0.317,3.0,0.974,0.0,0.632,0.0,0.649,0.618,0.62,0.49,0.0,0.35,0.0307,0.594,NaN,NaN,NaN,0
30ymNSV9O4RD3XV24dVOwj,24,23/1/2016,0,185.83773,-7.547999999999999,106.972,0.946,4.0,1.0,4.0,0.6629999999999999,0.0,0.695,0.621,0.866,0.557,0.006959999999999999,0.273,0.0363,0.716,NaN,NaN,NaN,0
34WZOtWt70gYFfZaGYw5bL,0,19/8/2016,0,214.77048,-12.563,88.007,0.21600000000000005,4.0,1.0,8.0,0.578,0.0,0.4270000000000001,0.457,0.79,0.393,2.08e-06,0.184,0.234,0.648,NaN,NaN,NaN,0
39JnyUuQPZxWwQHhTYXUV2,0,10/11/2016,0,235.92,-5.818,78.083,0.118,4.0,0.947,1.0,0.157,1.0,0.319,0.336,0.7390000000000001,0.901,3.36e-06,0.361,0.335,0.667,NaN,NaN,NaN,0
3FuwDq37mln4Z1r4v6wWkL,19,7/1/2016,0,256.0,-4.223,128.92,0.845,4.0,1.0,0.0,0.607,1.0,0.623,0.0252,0.6629999999999999,0.8109999999999999,0.0,0.156,0.0314,0.472,NaN,NaN,NaN,0
3KaEydMevd2OPKj4LMQqMU,1,19/4/2016,0,198.87098,-2.766,107.934,0.871,4.0,1.0,8.0,0.468,1.0,0.449,0.0586,0.644,0.9,4.55e-06,0.453,0.0825,0.639,NaN,NaN,NaN,0
3M7qXotCMPAmUQkWC3Q8Im,1,15/9/2016,0,204.5,-3.5780000000000003,119.645,0.204,4.0,0.727,10.0,0.001,0.0,0.222,0.181,0.488,0.935,0.0,0.14300000000000002,0.191,0.588,NaN,NaN,NaN,0
3at02DR2y7yzLk9mSxS6PS,0,3/2/2016,0,280.79338,-5.475,135.27700000000002,0.133,3.0,0.9,2.0,0.7709999999999999,1.0,0.705,0.456,0.248,0.508,4.22e-05,0.0855,0.0342,0.263,NaN,NaN,NaN,0
41gyAqi2Vcxn4mUbp35Tbp,9,8/9/2016,0,31.574690000000004,-10.03,80.753,0.083,1.0,0.7,2.0,0.025,1.0,0.421,0.551,0.34,0.279,0.0,0.0737,0.0391,0.401,NaN,NaN,NaN,0
48lEV6Rf0IFah4xkPKzfcc,0,13/9/2016,0,206.43315,-5.234,100.056,0.398,4.0,1.0,10.0,0.464,1.0,0.552,0.5379999999999999,0.718,0.884,3.63e-06,0.393,0.0764,0.964,NaN,NaN,NaN,0
4Fi7ygnxRVfl3CFZ1Sbmyj,0,17/6/2016,0,323.0994100000001,-3.564,173.854,0.113,4.0,1.0,10.0,0.212,0.0,0.33,0.81,0.623,0.904,0.0149,0.0666,0.132,0.866,NaN,NaN,NaN,0
4GFmCQMFKAeECO0s0skd5M,30,4/8/2016,0,183.82195,-6.535,84.60799999999998,0.16899999999999998,4.0,0.992,3.0,0.662,1.0,0.7040000000000001,0.394,0.439,0.652,1.44e-05,0.102,0.0438,0.468,NaN,NaN,NaN,0
4GdcsNW0dvKk10u48gDWdv,0,28/1/2016,0,270.60245,-11.261,109.841,0.736,4.0,1.0,0.0,0.546,1.0,0.5770000000000001,0.215,0.698,0.407,0.0366,0.35600000000000004,0.0306,0.539,NaN,NaN,NaN,0
4Hm5db2y3y2L8DCfJzemGN,0,21/12/2016,0,243.8615,-6.122999999999998,143.72,0.155,4.0,1.0,4.0,0.736,1.0,0.55,0.682,0.45,0.511,0.0,0.335,0.031,0.154,NaN,NaN,NaN,0
4LsNeotZQ3Yn7Fahe0skaN,0,22/6/2016,0,272.2185,-1.594,163.924,0.575,4.0,1.0,6.0,0.767,1.0,0.528,0.337,0.76,0.915,0.00215,0.0741,0.214,0.662,NaN,NaN,NaN,0
4MiRKvg1Ki8Ys1Ne5c3l0m,0,26/10/2016,0,338.76807,-2.106,111.034,0.818,4.0,1.0,4.0,0.552,0.0,0.434,0.163,0.73,0.711,0.00026000000000000003,0.241,0.0282,0.217,NaN,NaN,NaN,0
4PAAmb2Ulr5BlEfJNSPefY,26,26/3/2016,0,281.88,-6.5710000000000015,150.03,0.45,3.0,0.994,7.0,0.772,0.0,0.638,0.406,0.596,0.569,0.0,0.119,0.0305,0.63,NaN,NaN,NaN,0
