name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Tere Mere Pyar Ki Kundali,5uWLWuE3ESLcHtvgLBIKIy,3,2017-03-10,miss,301.22667,-7.2989999999999995,186.731,0.098,3,1.0,10,0.29,0,0.387,0.589,0.455,0.707,0.0,0.166,0.268,0.961
Mochu Mochunnu,6177Yz4mNPy0JiUiYMCmVD,0,2017-04-26,miss,253.15215,-3.662,107.469,0.39799999999999996,4,1.0,2,0.38799999999999996,1,0.568,0.146,0.505,0.761,5.6e-06,0.0655,0.0443,0.754
Dawaee Niyan Kaam Aeetin,6298NxyGFSZUUSpotoRmiZ,0,2017-03-16,miss,285.1298,-0.196,159.976,0.737,4,0.981,1,0.655,1,0.5489999999999999,0.0195,0.493,0.972,0.0,0.288,0.296,0.361
Thatti Thatti Dappava,62aw1mS09UPd40iMrq6RbC,0,2017-09-15,miss,66.87637,-12.554,152.04399999999998,0.9179999999999999,4,1.0,2,0.7809999999999999,1,0.504,0.372,0.805,0.53,0.0,0.0601,0.101,0.84
Kalangaathe Kanne,65e7Zph2MzbcjrdP1f8qvc,0,2017-06-04,miss,57.28975,-8.908,136.459,0.062,3,0.978,5,0.846,1,0.61,0.882,0.265,0.275,0.000116,0.0999,0.0369,0.334
Dil Dhadke Louder Louder,67whZyurP8jwNmx0Gdkld5,16,2017-07-06,miss,271.19746000000004,-7.212000000000001,99.995,0.575,4,1.0,6,0.23199999999999998,0,0.39,0.123,0.797,0.854,3.89e-06,0.0775,0.148,0.435
Tiriya Ke Bhiriya Raha,68FZufvz1ukAYwFVLv0DSs,0,2017-03-27,miss,235.22395,-3.278,144.908,0.18,4,1.0,9,0.546,1,0.608,0.627,0.585,0.927,0.0,0.161,0.152,0.825
Tu Disate,69V24jOCr8jIzGNBYPVOQa,2,2017-02-15,miss,213.13432999999998,-6.3420000000000005,133.953,0.696,4,0.986,9,0.716,1,0.705,0.714,0.568,0.53,0.000141,0.0912,0.0251,0.438
Durga Puja,6Ec1GCbnmuBidhlgmnZPS0,0,2017-09-17,miss,118.80803,-4.905,75.313,0.272,4,1.0,10,0.413,0,0.522,0.104,0.455,0.889,0.0,0.345,0.0736,0.524
Kalambudali,6FTffpJT5VK2VAK9mB7bgB,0,2017-07-20,miss,95.24,-5.861000000000001,130.035,0.6759999999999999,4,0.968,1,0.7240000000000001,1,0.375,0.105,0.719,0.723,0.000619,0.111,0.0403,0.369
Mama Mama Mayangadhe,6M36HFw3YmGlZgmCoXosMp,17,2017-03-23,miss,188.02132,-6.06,85.03299999999999,0.035,4,0.9309999999999999,0,0.593,0,0.573,0.0543,0.726,0.639,0.0,0.0435,0.0882,0.802
Ey Pataakey,6Pw0mEeOcAkAYpTfMEM8mz,3,2017-03-12,miss,182.80159,-7.434,130.10399999999998,0.614,4,1.0,9,0.391,1,0.46399999999999997,0.745,0.909,0.501,0.000614,0.0959,0.165,0.938
O Sahiba,6WuOgzvURit60ymyI0Fd6x,0,2017-09-04,miss,269.70145,-4.579,97.999,0.42200000000000004,4,1.0,6,0.7090000000000001,1,0.698,0.466,0.642,0.82,1.87e-05,0.134,0.0376,0.855
Singari Chennakari,6XcB8PaTXhuiFu1fBOp9cs,0,2017-04-26,miss,260.7488,-1.626,87.008,0.387,4,0.9890000000000001,6,0.475,0,0.583,0.114,0.705,0.958,0.00151,0.133,0.0792,0.81
